lanes,diameter,arrival_rate,throughput,avg_delay,p95_delay,max_queue
1,30,0.05,780.0,2.2,9.6,3
1,30,0.1,1140.0,8.8,54.6,38
1,30,0.15,1128.0,43.9,133.5,72
1,30,0.2,1296.0,42.7,195.0,129
1,30,0.25,1320.0,71.9,166.9,169
1,40,0.05,732.0,7.8,25.5,8
1,40,0.1,828.0,25.7,98.8,49
1,40,0.15,912.0,46.6,176.8,81
1,40,0.2,1128.0,66.1,147.0,125
1,40,0.25,768.0,94.4,182.5,186
1,50,0.05,648.0,20.9,71.3,9
1,50,0.1,696.0,55.0,117.0,49
1,50,0.15,624.0,95.8,182.6,102
1,50,0.2,480.0,64.7,187.8,160
1,50,0.25,672.0,77.2,194.1,219
2,30,0.05,780.0,0.6,3.0,2
2,30,0.1,1260.0,2.2,9.5,5
2,30,0.15,1812.0,5.1,23.7,41
2,30,0.2,2172.0,13.6,120.1,55
2,30,0.25,2244.0,30.5,99.3,98
2,40,0.05,780.0,1.8,8.4,2
2,40,0.1,1224.0,5.4,25.2,6
2,40,0.15,1536.0,15.3,97.6,77
2,40,0.2,1632.0,31.2,186.8,102
2,40,0.25,1536.0,53.6,239.4,175
2,50,0.05,780.0,2.6,12.1,4
2,50,0.1,1020.0,11.4,62.3,20
2,50,0.15,1080.0,27.8,146.1,96
2,50,0.2,1428.0,36.5,151.1,110
2,50,0.25,1176.0,54.3,154.2,163
3,30,0.05,768.0,0.5,3.5,2
3,30,0.1,1248.0,1.2,6.1,4
3,30,0.15,1884.0,4.6,20.2,9
3,30,0.2,2268.0,4.7,31.0,58
3,30,0.25,2772.0,8.2,24.4,91
3,40,0.05,768.0,1.1,4.9,2
3,40,0.1,1116.0,7.7,63.3,15
3,40,0.15,1776.0,7.5,39.5,52
3,40,0.2,2052.0,14.6,81.5,95
3,40,0.25,2040.0,36.7,124.1,177
3,50,0.05,756.0,2.1,11.1,3
3,50,0.1,1092.0,2.4,12.6,16
3,50,0.15,1584.0,6.1,21.2,83
3,50,0.2,1716.0,22.2,84.5,90
3,50,0.25,1716.0,34.9,161.6,164
