window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,196,103,1236.0,80.8695652173913,125.20000000000002,9,10,10,13,4.465405606734269,29228.214876710685,9441.994759481911,28244.39999999999
1,300.0,600.0,127,127,1524.0,161.60629921259843,222.0,22,12,23,23,4.889380592500725,43959.0889239214,14222.416835295879,299600.1999999999
2,600.0,900.0,127,121,1452.0,177.35245901639345,220.39999999999998,22,23,22,18,4.042365964476964,47148.85816280651,15255.698847736492,297440.0
3,900.0,1200.0,139,130,1560.0,175.93939393939394,244.0000000000001,23,6,12,24,4.408786982566172,52822.14983493028,17082.670838542374,402250.7999999998
4,1200.0,1500.0,133,138,1656.0,183.16029411764706,234.20000000000005,22,5,24,6,4.879148957945621,53456.24374548101,17295.267116786366,332250.59999999986
5,1500.0,1800.0,122,125,1500.0,190.04251968503937,250.0,16,8,24,24,4.41136671186625,52052.121056909986,16840.87826052953,343579.0
6,1800.0,2100.0,139,131,1572.0,173.18970588235297,203.4000000000001,10,22,24,23,3.8949545986763376,51522.954886276304,16667.477804572587,239389.7999999999
7,2100.0,2400.0,130,134,1608.0,180.61999999999998,221.39999999999964,15,18,23,6,3.8740258357576014,53411.41325599167,17280.3887038813,206188.60000000003
8,2400.0,2700.0,128,131,1572.0,183.74173228346461,227.79999999999973,25,6,18,15,4.538814271842208,52181.9907617586,16888.191729687875,239056.19999999995
9,2700.0,3000.0,137,133,1596.0,177.27007299270073,237.19999999999982,11,8,24,21,4.4228573804800755,54699.299463287985,17689.571561965684,224297.79999999996
10,3000.0,3300.0,131,131,1572.0,181.84031007751938,220.80000000000018,23,13,16,6,4.280965658943405,51392.736321324606,16624.69902162708,64142.2
11,3300.0,3600.0,119,127,1524.0,191.184375,228.20000000000027,9,20,24,24,4.367038867566272,50353.338337179965,16299.272903680287,217789.59999999992
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
