window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,163,95,1140.0,65.10178571428571,158.2,10,10,4,18,5.439379363292759,25662.566387229166,8285.38052080319,149106.8
1,300.0,600.0,146,132,1584.0,86.84461538461538,154.60000000000002,13,2,9,21,5.298433410045616,34127.09746784064,11041.346014840641,217599.4000000001
2,600.0,900.0,135,126,1512.0,124.85081967213115,201.19999999999993,21,3,10,21,5.212789125293954,39660.221458404376,12829.524739420525,174267.0
3,900.0,1200.0,125,124,1488.0,151.9,266.79999999999995,13,12,15,22,5.388629936678982,43847.487126748885,14183.006548763793,399762.79999999993
4,1200.0,1500.0,128,130,1560.0,146.4351145038168,253.20000000000005,16,12,25,8,4.926950807981077,47345.27302937695,15313.644901920214,346572.0000000002
5,1500.0,1800.0,124,128,1536.0,161.5179487179487,272.60000000000014,25,4,10,22,6.012554951160669,48788.544620879555,15779.431856812966,459742.79999999993
6,1800.0,2100.0,125,128,1536.0,145.74330708661418,285.7999999999997,16,2,5,22,5.6830194927122175,45483.0146256176,14715.879057697337,230442.40000000002
7,2100.0,2400.0,132,121,1452.0,156.67999999999998,225.79999999999973,15,10,19,23,4.751703916620217,42711.061151376496,13816.073901516565,356124.2000000001
8,2400.0,2700.0,136,138,1656.0,142.5169014084507,212.4000000000001,5,7,22,4,4.9051734507438685,51463.34608086904,16645.748853684014,537473.0000000002
9,2700.0,3000.0,125,135,1620.0,139.909375,194.5999999999999,13,2,21,5,5.58483120960289,46952.11612516894,15183.33780164658,22077.0
10,3000.0,3300.0,124,123,1476.0,145.33217391304348,202.5999999999999,10,2,14,23,5.074155780606062,41713.93278647412,13502.186059439338,92090.0
11,3300.0,3600.0,131,131,1572.0,142.6551181102362,240.19999999999982,20,4,6,24,5.656200823181523,47853.95470069129,15476.63093179659,268158.60000000003
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
